persona_id,persona,n,share_pct,retention_rate,priority,avg_academic_risk_index,avg_barrier_burden_index,avg_economic_instability_index,avg_health_burden_index,avg_support_coverage_score,recommended_intervention
2,Health-Constrained,158,15.8,0.791,1,3.391,1.746,0.444,36.741,1.317,"Health screening, attendance support, counseling"
0,Academic Strugglers,502,50.2,0.823,2,3.535,2.065,0.488,6.259,1.216,"Remediation, tutoring, academic catch-up programs"
1,Stable Achievers,340,34.0,0.953,3,1.382,1.12,0.317,8.9,1.592,Maintain engagement; STEM enrichment / peer mentoring
